id,name,publisher,type,discipline,country,notes
translational-neurodegeneration,Translational Neurodegeneration,Springer Nature,journal,neurology,United Kingdom,"Peer-reviewed open-access neurodegeneration journal (BMC / Springer Nature)"
jama-neurology,JAMA Neurology,American Medical Association,journal,neurology,United States,"Leading clinical neurology journal (JAMA Network), mostly paywalled"
npj-dementia,npj Dementia,Springer Nature,journal,neurology,United Kingdom,"Specialist open-access Nature Portfolio journal"
npj-parkinsons-disease,npj Parkinson's Disease,Springer Nature,journal,neurology,United Kingdom,"Open-access Nature Portfolio journal"
nature-communications,Nature Communications,Springer Nature,megajournal,multidisciplinary,United Kingdom,"Large open-access multidisciplinary journal (Nature Portfolio)"
bmc-medicine,BMC Medicine,Springer Nature,journal,general-medicine,United Kingdom,"High-impact open-access general medical journal (BioMed Central)"
cell,Cell,Elsevier (Cell Press),journal,multidisciplinary,United States,"Flagship biology journal, Cell Press (Cambridge MA), mostly paywalled"
nutrition-reviews,Nutrition Reviews,Oxford University Press,journal,nutrition,United Kingdom,"Evidence-based nutrition science journal indexed in MEDLINE"
frontiers-in-psychiatry,Frontiers in Psychiatry,Frontiers,journal,psychiatry,Switzerland,"Open-access psychiatry journal"
life-mdpi,Life,MDPI,journal,multidisciplinary,Switzerland,"Open-access peer-reviewed life-sciences journal"
scientific-reports,Scientific Reports,Springer Nature,megajournal,multidisciplinary,United Kingdom,"Large open-access multidisciplinary journal (Nature Portfolio)"
global-change-biology,Global Change Biology,Wiley,journal,climate,United States,"Peer-reviewed ecology/climate-impacts journal; Wiley is US/UK-headquartered"
biogeosciences,Biogeosciences,Copernicus Publications,journal,climate,Germany,"Fully open-access peer-reviewed journal of the European Geosciences Union"
nature-reviews-earth-environment,Nature Reviews Earth & Environment,Springer Nature,journal,climate,United Kingdom,"Peer-reviewed invited-review journal, Nature Portfolio; subscription-access"
pnas,Proceedings of the National Academy of Sciences,National Academy of Sciences,megajournal,multidisciplinary,United States,"US National Academy journal, fully open access since 2021"
advances-in-atmospheric-sciences,Advances in Atmospheric Sciences,Springer Nature,journal,climate,to-verify,"Co-published with the Institute of Atmospheric Physics, Chinese Academy of Sciences; HQ/country ambiguous"
annual-review-marine-science,Annual Review of Marine Science,Annual Reviews,journal,climate,United States,"Peer-reviewed commissioned-review journal; Annual Reviews is a US nonprofit publisher"
nature,Nature,Springer Nature,journal,multidisciplinary,United Kingdom,"Flagship peer-reviewed multidisciplinary journal, Nature Portfolio"
nature-ecology-evolution,Nature Ecology & Evolution,Springer Nature,journal,ecology,United Kingdom,"Peer-reviewed specialist ecology/evolution journal, Nature Portfolio"
engineering-journal,Engineering,Elsevier / Chinese Academy of Engineering,journal,technology,to-verify,"Open-access engineering journal launched by the Chinese Academy of Engineering, published internationally by Elsevier; HQ/country ambiguous between the two"
ioc-unesco,Intergovernmental Oceanographic Commission of UNESCO,UNESCO,institution,oceanography,France,"UN intergovernmental body co-stewarding GEBCO/Seabed 2030 seafloor mapping; UNESCO HQ Paris"
science-advances,Science Advances,American Association for the Advancement of Science (AAAS),journal,multidisciplinary,United States,"Open-access peer-reviewed journal of AAAS, sister publication to Science"
current-biology,Current Biology,Elsevier (Cell Press),journal,multidisciplinary,United States,"Peer-reviewed Cell Press journal covering broad biology; Cell Press editorial in Cambridge MA"
european-marine-board,European Marine Board,European Marine Board,institution,oceanography,Belgium,"Federation of ~35 European marine research organisations and funding agencies; secretariat in Ostend; publishes expert-consensus Future Science Briefs"
congressional-research-service,Congressional Research Service (Library of Congress),Library of Congress,institution,international-law,United States,"Nonpartisan US legislative-branch research service; In Focus briefs summarize treaties and policy for Congress"
jama-network-open,JAMA Network Open,American Medical Association,journal,general-medicine,United States,"Fully open-access journal of the JAMA Network"
nia-dab,National Institute on Aging — Division of Aging Biology,National Institutes of Health,institution,gerontology,United States,"US federal institute (part of NIH) leading and funding aging-biology research"
nature-reviews-molecular-cell-biology,Nature Reviews Molecular Cell Biology,Springer Nature,journal,cell-biology,United Kingdom,"Peer-reviewed invited-review journal, Nature Portfolio; subscription-access"
nature-medicine,Nature Medicine,Springer Nature,journal,general-medicine,United Kingdom,"Flagship peer-reviewed clinical/translational medicine journal, Nature Portfolio; this specific article is open access via PMC"
nature-reviews-endocrinology,Nature Reviews Endocrinology,Springer Nature,journal,endocrinology,United Kingdom,"Peer-reviewed invited-review journal, Nature Portfolio; this specific article is open access via PMC"
seminars-in-cancer-biology,Seminars in Cancer Biology,Elsevier,journal,oncology,Netherlands,"Peer-reviewed review journal; Elsevier is headquartered in Amsterdam; this specific article is open access via PMC"
nature-aging,Nature Aging,Springer Nature,journal,gerontology,United Kingdom,"Peer-reviewed Nature Portfolio journal specializing in aging research; this specific article is open access via PMC"
nih-news,National Institutes of Health — News Releases,National Institutes of Health,institution,gerontology,United States,"Official NIH press releases summarizing NIH Common Fund and institute-supported peer-reviewed research"
nature-reviews-genetics,Nature Reviews Genetics,Springer Nature,journal,genetics,United Kingdom,"Peer-reviewed invited-review journal, Nature Portfolio; subscription-access"
nature-reviews-drug-discovery,Nature Reviews Drug Discovery,Springer Nature,journal,pharmacology,United Kingdom,"Peer-reviewed invited-review journal, Nature Portfolio, covering drug discovery and therapeutic strategy"
